date,ticker,sector,open,high,low,close,volume,is_anomaly
2023-10-10,PPL,Oil & Gas Exploration,73.99,74.44,73.25,73.93,3084894,f
2023-10-11,PPL,Oil & Gas Exploration,74.56,75.99,74.15,75.75,7355736,f
2023-10-12,PPL,Oil & Gas Exploration,76.24,77.25,75.81,76.77,6826631,f
2023-10-13,PPL,Oil & Gas Exploration,76.86,81.89,76.21,80.62,15178339,f
2023-10-16,PPL,Oil & Gas Exploration,81.05,84.0,80.0,80.33,9554904,f
2023-10-17,PPL,Oil & Gas Exploration,79.75,80.12,77.3,77.7,3791020,f
2023-10-18,PPL,Oil & Gas Exploration,77.6,77.99,76.51,77.48,3589409,f
2023-10-19,PPL,Oil & Gas Exploration,77.14,83.29,77.13,82.95,18911504,f
2023-10-20,PPL,Oil & Gas Exploration,82.9,83.2,81.32,82.56,7552252,f
2023-10-23,PPL,Oil & Gas Exploration,83.01,87.0,82.81,85.22,24259049,f
2023-10-24,PPL,Oil & Gas Exploration,86.0,86.0,81.63,82.72,10255853,f
2023-10-25,PPL,Oil & Gas Exploration,82.65,83.89,81.95,82.46,8207368,f
2023-10-26,PPL,Oil & Gas Exploration,82.45,82.9,80.6,80.83,4518629,f
2023-10-27,PPL,Oil & Gas Exploration,80.85,81.45,78.51,79.26,4258249,f
2023-10-30,PPL,Oil & Gas Exploration,79.37,81.7,78.95,80.73,4802381,f
2023-10-31,PPL,Oil & Gas Exploration,83.0,83.65,80.9,81.11,7796581,f
2023-11-01,PPL,Oil & Gas Exploration,81.51,82.8,80.8,81.01,6350377,f
2023-11-02,PPL,Oil & Gas Exploration,81.1,84.2,80.5,81.37,5718084,f
2023-11-03,PPL,Oil & Gas Exploration,81.12,82.78,80.81,82.02,6010320,f
2023-11-06,PPL,Oil & Gas Exploration,82.5,82.55,80.7,81.42,3862892,f
2023-11-07,PPL,Oil & Gas Exploration,81.81,82.38,80.14,80.45,4243204,f
2023-11-08,PPL,Oil & Gas Exploration,80.11,81.7,80.11,80.62,4665469,f
2023-11-10,PPL,Oil & Gas Exploration,81.55,82.97,81.11,81.96,10555014,f
2023-11-13,PPL,Oil & Gas Exploration,81.9,83.5,81.55,82.67,9183312,f
2023-11-14,PPL,Oil & Gas Exploration,83.06,83.9,81.05,83.52,9040327,f
2023-11-15,PPL,Oil & Gas Exploration,84.0,86.99,83.55,86.31,19292737,f
2023-11-16,PPL,Oil & Gas Exploration,87.02,92.78,86.3,92.56,24336213,f
2023-11-17,PPL,Oil & Gas Exploration,93.49,94.74,91.0,91.88,16643997,f
2023-11-20,PPL,Oil & Gas Exploration,91.89,92.7,90.3,90.77,6097426,f
2023-11-21,PPL,Oil & Gas Exploration,90.81,92.15,88.8,89.48,5862888,f
2023-11-22,PPL,Oil & Gas Exploration,89.0,93.48,89.0,92.31,10655403,f
2023-11-23,PPL,Oil & Gas Exploration,92.55,93.6,89.88,90.53,7358871,f
2023-11-24,PPL,Oil & Gas Exploration,90.99,92.5,90.0,90.83,6139710,f
2023-11-27,PPL,Oil & Gas Exploration,91.5,92.9,90.49,91.58,7028494,f
2023-11-28,PPL,Oil & Gas Exploration,92.0,94.6,91.8,93.27,12452024,f
2023-11-29,PPL,Oil & Gas Exploration,93.27,95.24,91.2,92.12,14409867,f
2023-11-30,PPL,Oil & Gas Exploration,92.5,93.75,91.5,91.77,6286258,f
2023-12-01,PPL,Oil & Gas Exploration,92.44,95.1,91.5,94.72,9506132,f
2023-12-04,PPL,Oil & Gas Exploration,96.01,101.82,96.01,100.04,23518237,f
2023-12-05,PPL,Oil & Gas Exploration,100.5,107.54,98.3,107.36,26934622,f
2023-12-06,PPL,Oil & Gas Exploration,109.89,113.98,107.0,110.98,35324615,f
2023-12-07,PPL,Oil & Gas Exploration,108.99,112.5,108.5,110.71,15352002,f
2023-12-08,PPL,Oil & Gas Exploration,112.0,115.11,111.76,113.85,16604019,f
2023-12-11,PPL,Oil & Gas Exploration,113.0,115.0,111.5,113.96,8672394,f
2023-12-12,PPL,Oil & Gas Exploration,114.0,115.95,114.0,115.04,6735735,f
2023-12-13,PPL,Oil & Gas Exploration,116.5,119.49,110.25,115.14,17870916,f
2023-12-14,PPL,Oil & Gas Exploration,114.5,123.78,113.0,120.77,17322231,f
2023-12-15,PPL,Oil & Gas Exploration,125.0,127.8,122.6,126.26,20844934,f
2023-12-18,PPL,Oil & Gas Exploration,126.0,126.95,121.35,123.07,11710100,f
2023-12-19,PPL,Oil & Gas Exploration,121.8,124.54,115.01,118.64,24378331,f
2023-12-20,PPL,Oil & Gas Exploration,120.3,122.0,114.5,120.37,24173128,f
2023-12-21,PPL,Oil & Gas Exploration,124.01,124.49,119.8,122.81,14079720,f
2023-12-22,PPL,Oil & Gas Exploration,123.0,123.5,117.02,117.83,7362326,f
2023-12-26,PPL,Oil & Gas Exploration,116.6,116.74,108.99,108.99,19050579,f
2023-12-27,PPL,Oil & Gas Exploration,107.25,112.0,104.81,111.18,11154977,f
2023-12-28,PPL,Oil & Gas Exploration,112.5,114.2,109.05,111.04,10430061,f
2023-12-29,PPL,Oil & Gas Exploration,112.0,119.0,110.8,115.03,13683173,f
